,Attempt,Group Type,Type of Control,Proctor Classification,Test Type,Item Number,Proctor Time Started,Proctor Time Ended,Grasp Time Started,Grasp Time Finished,Grasp Time Started idx,Grasp Time Finished idx,Grasp Time,Deposit Time Started,Deposit Time Finished,Deposit Time Started idx,Deposit Time Finished idx,Deposit Time,Object Broken Time,Total Grasp Time,Proctor Complete Time,ZR grasp press time,SR grasp press time,R post-grasp press time,ZR deposit press time,Power slider deposit press time,R post-deposit press time,Power slider post-deposit press time,X before Grasp attempt,Y before Grasp Attempt,Z before grasp attempt,X before SR button,Y before SR button,Z before SR button,Post Calc Analysis Classificaiton
0,1,SNS_first,SNS, fail, soft),5,2023-08-17 11:03:08.840,2023-08-17 11:03:16.214,2023-08-17 11:02:58.819,2023-08-17 11:03:10.432,36023,0,0 days 00:00:11.613000,9999-12-31 23:59:59.999999,9999-12-31 23:59:59.999999,0,0,0 days 00:00:00,0001-01-01 00:00:00,0 days 00:00:11.613000,0 days 00:00:07.374000,0001-01-01 00:00:00,2023-08-17 11:02:58.819,0001-01-01 00:00:00,0001-01-01 00:00:00,0001-01-01 00:00:00,0001-01-01 00:00:00,0001-01-01 00:00:00,,,,-20.0,37.0,0.0,False
1,2,SNS_first,SNS, fail, soft),3,2023-08-17 11:03:48.035,2023-08-17 11:03:59.707,2023-08-17 11:03:47.205,2023-08-17 11:03:54.306,37256,1,0 days 00:00:07.101000,9999-12-31 23:59:59.999999,9999-12-31 23:59:59.999999,0,0,0 days 00:00:00,0001-01-01 00:00:00,0 days 00:00:07.101000,0 days 00:00:11.672000,0001-01-01 00:00:00,2023-08-17 11:03:47.205,0001-01-01 00:00:00,0001-01-01 00:00:00,0001-01-01 00:00:00,0001-01-01 00:00:00,0001-01-01 00:00:00,,,,-177.0,-139.0,-103.2,False
2,3,SNS_first,SNS, fail, soft),3,2023-08-17 11:04:16.410,2023-08-17 11:04:19.354,2023-08-17 11:04:09.457,2023-08-17 11:04:16.281,37798,2,0 days 00:00:06.824000,9999-12-31 23:59:59.999999,9999-12-31 23:59:59.999999,0,0,0 days 00:00:00,0001-01-01 00:00:00,0 days 00:00:06.824000,0 days 00:00:02.944000,0001-01-01 00:00:00,2023-08-17 11:04:09.457,0001-01-01 00:00:00,0001-01-01 00:00:00,0001-01-01 00:00:00,0001-01-01 00:00:00,0001-01-01 00:00:00,,,,-181.0,-160.0,-103.01,False
3,4,SNS_first,SNS, success, soft),8,2023-08-17 11:05:07.357,2023-08-17 11:06:02.100,2023-08-17 11:05:06.397,2023-08-17 11:05:15.249,39250,3,0 days 00:00:08.852000,2023-08-17 11:05:29.432000,2023-08-17 11:06:01.982000,39843,40684,0 days 00:00:32.550000,0001-01-01 00:00:00,0 days 00:00:41.402000,0 days 00:00:54.743000,2023-08-17 11:05:29.432000,2023-08-17 11:05:06.397,0001-01-01 00:00:00,2023-08-17 11:05:29.432000,2023-08-17 11:05:54.555000,2023-08-17 11:06:01.982000,2023-08-17 11:05:54.555000,-106.0,-252.0,-89.37,-15.0,183.0,-102.76,True
4,5,SNS_first,SNS, success, soft),2,2023-08-17 11:06:43.250,2023-08-17 11:07:30.309,2023-08-17 11:06:40.862,2023-08-17 11:06:51.591,41648,4,0 days 00:00:10.729000,2023-08-17 11:07:06.550000,2023-08-17 11:07:30.309000,42326,42961,0 days 00:00:23.759000,0001-01-01 00:00:00,0 days 00:00:34.488000,0 days 00:00:47.059000,2023-08-17 11:07:06.550000,2023-08-17 11:06:40.862,0001-01-01 00:00:00,2023-08-17 11:07:06.550000,2023-08-17 11:07:19.627000,2023-08-17 11:07:30.309000,2023-08-17 11:07:19.627000,27.0,-239.0,-87.75,-20.0,-150.0,-77.74,True
5,6,SNS_first,SNS, fail, soft),9,2023-08-17 11:08:17.532,2023-08-17 11:08:29.396,2023-08-17 11:08:15.568,2023-08-17 11:08:25.540,44084,3,0 days 00:00:09.972000,9999-12-31 23:59:59.999999,9999-12-31 23:59:59.999999,0,0,0 days 00:00:00,0001-01-01 00:00:00,0 days 00:00:09.972000,0 days 00:00:11.864000,0001-01-01 00:00:00,2023-08-17 11:08:15.568,0001-01-01 00:00:00,0001-01-01 00:00:00,0001-01-01 00:00:00,0001-01-01 00:00:00,0001-01-01 00:00:00,,,,-177.0,173.0,-39.24,False
6,7,SNS_first,SNS, fail, soft),9,2023-08-17 11:08:56.467,2023-08-17 11:08:57.869,2023-08-17 11:08:45.988,2023-08-17 11:08:53.885,44868,4,0 days 00:00:07.897000,9999-12-31 23:59:59.999999,9999-12-31 23:59:59.999999,0,0,0 days 00:00:00,0001-01-01 00:00:00,0 days 00:00:07.897000,0 days 00:00:01.402000,0001-01-01 00:00:00,2023-08-17 11:08:45.988,0001-01-01 00:00:00,0001-01-01 00:00:00,0001-01-01 00:00:00,0001-01-01 00:00:00,0001-01-01 00:00:00,,,,-179.0,185.0,-103.44,False
7,8,SNS_first,SNS, success, soft),7,2023-08-17 11:09:33.937,2023-08-17 11:10:24.891,2023-08-17 11:09:32.324,2023-08-17 11:09:44.491,46032,7,0 days 00:00:12.167000,2023-08-17 11:10:02.710000,2023-08-17 11:10:24.891000,46806,47390,0 days 00:00:22.181000,0001-01-01 00:00:00,0 days 00:00:34.348000,0 days 00:00:50.954000,2023-08-17 11:10:02.710000,2023-08-17 11:09:32.324,0001-01-01 00:00:00,2023-08-17 11:10:02.710000,2023-08-17 11:10:16.496000,2023-08-17 11:10:24.891000,2023-08-17 11:10:16.496000,-23.0,-238.0,-87.69,141.0,182.0,-87.49,True
8,9,SNS_first,SNS, success, soft),4,2023-08-17 11:11:05.743,2023-08-17 11:11:49.802,2023-08-17 11:11:04.153,2023-08-17 11:11:15.266,48527,8,0 days 00:00:11.113000,2023-08-17 11:11:30.225000,2023-08-17 11:11:49.776000,49204,49732,0 days 00:00:19.551000,0001-01-01 00:00:00,0 days 00:00:30.664000,0 days 00:00:44.059000,2023-08-17 11:11:30.225000,2023-08-17 11:11:04.153,0001-01-01 00:00:00,2023-08-17 11:11:30.225000,2023-08-17 11:11:38.721000,2023-08-17 11:11:49.776000,2023-08-17 11:11:38.721000,109.0,-248.0,-87.91,163.0,17.0,-75.37,True
9,10,SNS_first,SNS, success, soft),1,2023-08-17 11:12:41.951,2023-08-17 11:13:22.843,2023-08-17 11:12:39.619,2023-08-17 11:12:51.568,50958,9,0 days 00:00:11.949000,2023-08-17 11:12:58.736000,2023-08-17 11:13:22.818000,51463,52102,0 days 00:00:24.082000,0001-01-01 00:00:00,0 days 00:00:36.031000,0 days 00:00:40.892000,2023-08-17 11:12:58.736000,2023-08-17 11:12:39.619,0001-01-01 00:00:00,2023-08-17 11:12:58.736000,2023-08-17 11:13:16.612000,2023-08-17 11:13:22.818000,2023-08-17 11:13:16.612000,80.0,-252.0,-88.56,139.0,-144.0,-80.21,True
