,Attempt,Group Type,Type of Control,Proctor Classification,Object Type,Test Type,Item Number,ID code,Datalog Name,Event Log Name,Participant Number,Proctor Time Started,Proctor Time Ended,Grasp Time Started,Grasp Time Finished,Grasp Time Started idx,Grasp Time Finished idx,Grasp Time,Deposit Time Started,Deposit Time Finished,Deposit Time Started idx,Deposit Time Finished idx,Deposit Time,Object Broken Time,Total Grasp Time,Proctor Complete Time,ZR grasp press time,SR grasp press time,Power slider grasp press time,R post-grasp press time,ZR deposit press time,Power slider deposit press time,R post-deposit press time,Power slider post-deposit press time,X before Grasp attempt,Y before Grasp Attempt,Z before grasp attempt,X before SR button,Y before SR button,Z before SR button,Post Calc Analysis Classificaiton,Immediate Reattempt,Reattempt
0,1,SNS_first,SNS, fail,breakable, soft),5,1,..\HardwareDatalog_17_08_2023_08_52_12.csv,..\Hardware_17_08_2023_08_52_12.txt,1,2023-08-17 09:01:22.770,2023-08-17 09:01:33.707,2023-08-17 09:01:19.699,2023-08-17 09:01:30.582000,12133,0,10.883,9999-12-31 23:59:59.999999,9999-12-31 23:59:59.999999,0,0,0.0,0001-01-01 00:00:00,10.883,0 days 00:00:10.937000,0001-01-01 00:00:00,2023-08-17 09:01:19.699000,0001-01-01 00:00:00,0001-01-01 00:00:00,0001-01-01 00:00:00,0001-01-01 00:00:00,0001-01-01 00:00:00,0001-01-01 00:00:00,,,,-15.0,18.0,0.0,False,False,False
1,2,SNS_first,SNS, success,graspable, soft),9,1,..\HardwareDatalog_17_08_2023_08_52_12.csv,..\Hardware_17_08_2023_08_52_12.txt,1,2023-08-17 09:02:10.355,2023-08-17 09:03:46.198,2023-08-17 09:02:07.935,2023-08-17 09:02:16.603000,13358,13611,8.668,2023-08-17 09:02:56.711000,2023-08-17 09:03:40.292000,14595,0,43.581,0001-01-01 00:00:00,52.249,0 days 00:01:35.843000,2023-08-17 09:02:56.711000,2023-08-17 09:02:07.935000,2023-08-17 09:03:36.078000,0001-01-01 00:00:00,2023-08-17 09:02:56.711000,2023-08-17 09:03:40.292000,0001-01-01 00:00:00,2023-08-17 09:03:40.292000,73.0,-235.0,-89.11,-181.0,187.0,-91.4,True,False,False
2,3,SNS_first,SNS, fail,breakable, soft),4,1,..\HardwareDatalog_17_08_2023_08_52_12.csv,..\Hardware_17_08_2023_08_52_12.txt,1,2023-08-17 09:04:45.835,2023-08-17 09:05:13.708,2023-08-17 09:03:46.740,0001-01-01 00:00:00,15857,0,-63827859826.74,9999-12-31 23:59:59.999999,9999-12-31 23:59:59.999999,0,0,0.0,0001-01-01 00:00:00,-63827859826.74,0 days 00:00:27.873000,2023-08-17 09:03:46.740000,2023-08-17 09:04:30.610000,2023-08-17 09:05:04.671000,0001-01-01 00:00:00,0001-01-01 00:00:00,0001-01-01 00:00:00,0001-01-01 00:00:00,0001-01-01 00:00:00,73.0,-235.0,-166.11,154.0,24.0,-36.75,False,False,False
3,4,SNS_first,SNS, fail,fixed, soft),3,1,..\HardwareDatalog_17_08_2023_08_52_12.csv,..\Hardware_17_08_2023_08_52_12.txt,1,2023-08-17 09:06:03.522,2023-08-17 09:06:14.732,2023-08-17 09:05:13.948,2023-08-17 09:06:07.640000,18063,1,53.692,9999-12-31 23:59:59.999999,9999-12-31 23:59:59.999999,0,0,0.0,0001-01-01 00:00:00,53.692,0 days 00:00:11.210000,2023-08-17 09:05:13.948000,2023-08-17 09:06:01.539000,0001-01-01 00:00:00,0001-01-01 00:00:00,0001-01-01 00:00:00,0001-01-01 00:00:00,0001-01-01 00:00:00,0001-01-01 00:00:00,154.0,23.975,-184.0,-187.0,-151.0,-130.1,False,False,False
4,5,SNS_first,SNS, success,fixed, soft),6,1,..\HardwareDatalog_17_08_2023_08_52_12.csv,..\Hardware_17_08_2023_08_52_12.txt,1,2023-08-17 09:06:56.375,2023-08-17 09:08:01.527,2023-08-17 09:06:50.836,2023-08-17 09:07:01.526000,20647,20956,10.69,2023-08-17 09:07:29.460000,2023-08-17 09:08:01.502000,21639,22483,32.042,0001-01-01 00:00:00,42.732,0 days 00:01:05.152000,2023-08-17 09:07:29.460000,2023-08-17 09:06:50.836000,2023-08-17 09:07:44.430000,0001-01-01 00:00:00,2023-08-17 09:07:29.460000,2023-08-17 09:07:54.587000,2023-08-17 09:08:01.502000,2023-08-17 09:07:54.587000,-142.0,-241.0,-87.68,-180.0,17.0,-92.0,True,False,False
5,6,SNS_first,SNS, fail,fixed, soft),8,1,..\HardwareDatalog_17_08_2023_08_52_12.csv,..\Hardware_17_08_2023_08_52_12.txt,1,2023-08-17 09:08:57.158,2023-08-17 09:09:08.717,2023-08-17 09:08:01.670,2023-08-17 09:09:02.961000,22471,2,61.291,9999-12-31 23:59:59.999999,9999-12-31 23:59:59.999999,0,0,0.0,0001-01-01 00:00:00,61.291,0 days 00:00:11.559000,2023-08-17 09:08:01.670000,2023-08-17 09:08:53.845000,0001-01-01 00:00:00,0001-01-01 00:00:00,0001-01-01 00:00:00,0001-01-01 00:00:00,0001-01-01 00:00:00,0001-01-01 00:00:00,-112.0,-241.0,-146.22,-15.0,172.0,-53.8,False,False,False
6,7,SNS_first,SNS, success,graspable, soft),2,1,..\HardwareDatalog_17_08_2023_08_52_12.csv,..\Hardware_17_08_2023_08_52_12.txt,1,2023-08-17 09:10:46.289,2023-08-17 09:11:02.720,2023-08-17 09:09:44.993,2023-08-17 09:09:53.942000,25077,25305,8.949,2023-08-17 09:10:35.580000,2023-08-17 09:11:02.695000,26321,27036,27.115,0001-01-01 00:00:00,36.064,0 days 00:00:16.431000,2023-08-17 09:10:35.580000,2023-08-17 09:09:44.993000,2023-08-17 09:10:51,0001-01-01 00:00:00,2023-08-17 09:10:35.580000,2023-08-17 09:10:51.601000,2023-08-17 09:11:02.695000,2023-08-17 09:10:51.601000,17.0,-248.0,-87.76,-18.0,-151.0,-103.47,True,False,False
7,8,SNS_first,SNS, success,breakable, soft),7,1,..\HardwareDatalog_17_08_2023_08_52_12.csv,..\Hardware_17_08_2023_08_52_12.txt,1,2023-08-17 09:11:51.217,2023-08-17 09:12:51.988,2023-08-17 09:11:02.970,2023-08-17 09:12:01.613000,27019,28543,58.643,2023-08-17 09:12:31.770000,2023-08-17 09:12:51.988000,29274,29826,20.218,0001-01-01 00:00:00,78.861,0 days 00:01:00.771000,2023-08-17 09:11:02.970000,2023-08-17 09:11:48.580000,2023-08-17 09:12:39.256000,0001-01-01 00:00:00,2023-08-17 09:12:31.770000,2023-08-17 09:12:39.744000,2023-08-17 09:12:51.988000,2023-08-17 09:12:39.744000,16.0,-242.0,-148.795,148.0,168.0,-71.58,True,False,False
8,9,SNS_first,SNS, fail,graspable, soft),1,1,..\HardwareDatalog_17_08_2023_08_52_12.csv,..\Hardware_17_08_2023_08_52_12.txt,1,2023-08-17 09:13:35.395,2023-08-17 09:13:55.912,2023-08-17 09:12:51.988,2023-08-17 09:13:45.902000,29826,3,53.914,9999-12-31 23:59:59.999999,9999-12-31 23:59:59.999999,0,0,0.0,0001-01-01 00:00:00,53.914,0 days 00:00:20.517000,2023-08-17 09:12:51.988000,2023-08-17 09:13:37.933000,0001-01-01 00:00:00,0001-01-01 00:00:00,0001-01-01 00:00:00,0001-01-01 00:00:00,0001-01-01 00:00:00,0001-01-01 00:00:00,-125.0,-244.0,-126.7175,142.0,-163.0,-93.78,False,False,False
9,10,SNS_first,SNS, success,graspable, soft),1,1,..\HardwareDatalog_17_08_2023_08_52_12.csv,..\Hardware_17_08_2023_08_52_12.txt,1,2023-08-17 09:15:20.223,2023-08-17 09:15:21.428,2023-08-17 09:14:17.743,2023-08-17 09:14:45.818000,31985,32712,28.075,2023-08-17 09:14:57.433000,2023-08-17 09:15:21.402000,32998,33635,23.969,0001-01-01 00:00:00,52.044,0 days 00:00:01.205000,2023-08-17 09:14:17.743000,2023-08-17 09:14:33.137000,2023-08-17 09:15:08.085000,0001-01-01 00:00:00,2023-08-17 09:14:57.433000,2023-08-17 09:15:08.366000,2023-08-17 09:15:21.402000,2023-08-17 09:15:08.366000,142.0,-163.1125,-103.16,164.0,-175.0,-113.93,True,True,True
10,11,SNS_first,SNS, fail,fixed, soft),3,1,..\HardwareDatalog_17_08_2023_08_52_12.csv,..\Hardware_17_08_2023_08_52_12.txt,1,2023-08-17 09:16:16.919,2023-08-17 09:16:27.243,2023-08-17 09:15:21.820,2023-08-17 09:16:22.478000,33625,4,60.658,9999-12-31 23:59:59.999999,9999-12-31 23:59:59.999999,0,0,0.0,0001-01-01 00:00:00,60.658,0 days 00:00:10.324000,2023-08-17 09:15:21.820000,2023-08-17 09:16:13.630000,0001-01-01 00:00:00,0001-01-01 00:00:00,0001-01-01 00:00:00,0001-01-01 00:00:00,0001-01-01 00:00:00,0001-01-01 00:00:00,23.0,-252.0,-98.875,-180.0,-154.0,-128.56,False,False,True
0,1,SNS_first,Manual, broken,breakable, soft),1,1_Full_Human,..\HardwareDatalog_17_08_2023_09_21_00.csv,..\Hardware_17_08_2023_09_21_00.txt,1,2023-08-17 09:25:11.759,2023-08-17 09:25:36.743,2023-08-17 09:24:56.861,2023-08-17 09:25:32.676000,4451,0,35.815,9999-12-31 23:59:59.999999,9999-12-31 23:59:59.999999,0,0,0.0,2023-08-17 09:25:32.676000,35.815,0 days 00:00:24.984000,2023-08-17 09:24:56.861000,0001-01-01 00:00:00,2023-08-17 09:25:20.991000,0001-01-01 00:00:00,0001-01-01 00:00:00,0001-01-01 00:00:00,0001-01-01 00:00:00,0001-01-01 00:00:00,160.0,-148.0,0.0,,,,False,False,False
1,2,SNS_first,Manual, success,graspable, soft),6,1_Full_Human,..\HardwareDatalog_17_08_2023_09_21_00.csv,..\Hardware_17_08_2023_09_21_00.txt,1,2023-08-17 09:26:51.719,2023-08-17 09:27:46.754,2023-08-17 09:25:36.800,2023-08-17 09:27:10.203000,5468,7892,93.403,2023-08-17 09:27:26.473000,2023-08-17 09:27:46.713000,8290,8830,20.24,0001-01-01 00:00:00,113.643,0 days 00:00:55.035000,2023-08-17 09:25:36.800000,0001-01-01 00:00:00,2023-08-17 09:26:07.221000,0001-01-01 00:00:00,2023-08-17 09:27:26.473000,2023-08-17 09:27:38.917000,2023-08-17 09:27:46.713000,2023-08-17 09:27:38.917000,146.0,-151.0,-171.4875,,,,True,False,False
